start_base	count	direction	strand	fitted	ret	prob
C	1005611	CtoT	-	1006571.65266	-0.000328981185288	0.023639
C	205866	CtoG	+	206601.915879	-0.000251689509268	0.023639
A	760317	AtoG	+	760792.273188	-0.000207847987553	0.409355
A	190872	AtoT	-	191129.354291	-0.000112506343258	0.409355
A	190268	AtoC	-	190485.918897	-9.5276219944e-05	0.409355
C	245588	CtoA	+	245812.736777	-7.6963984479e-05	0.023639
C	245720	CtoA	-	245495.263223	7.70344272703e-05	0.023639
A	190150	AtoC	+	189932.081103	9.53854387623e-05	0.409355
A	190831	AtoT	+	190573.645709	0.000112658155204	0.409355
A	763486	AtoG	-	763010.726812	0.000207977683749	0.409355
C	207071	CtoG	-	206335.084121	0.00025258820982	0.023639
C	1008834	CtoT	+	1007873.34734	0.000329295105885	0.023639
