start_base	count	direction	strand	fitted	ret	prob
A	194	AtoC	-	205.182119205	-0.00399989828548	0.468213
A	969	AtoG	+	976.394039735	-0.0027100706371	0.468213
A	161	AtoT	+	164.78807947	-0.00137755797153	0.468213
C	427	CtoG	-	437.770923983	-0.00136131554844	0.716374
C	3090	CtoT	+	3095.93038137	-0.000758215740012	0.716374
C	394	CtoA	+	398.840542616	-0.000615696102866	0.716374
C	397	CtoA	-	392.159457384	0.000623278038564	0.716374
C	3050	CtoT	-	3044.06961863	0.000759681895374	0.716374
C	456	CtoG	+	445.229076017	0.00139495396704	0.716374
A	173	AtoT	-	169.21192053	0.00140918604419	0.468213
A	1010	AtoG	-	1002.60596026	0.0027304039063	0.468213
A	211	AtoC	+	199.817880795	0.00422712476653	0.468213
