start_base	count	direction	strand	fitted	ret	prob
A	276657	AtoC	+	277529.27721299505	-0.00026753135518514974	0.034600
C	322438	CtoA	+	323552.82394200895	-0.00025378982700701265	0.010948
A	1100674	AtoG	-	1101489.6958288171	-0.00025047897546759168	0.034600
C	1541864	CtoT	-	1542837.6275439102	-0.0002219593241544071	0.010948
C	327012	CtoG	-	327153.19639809802	-3.2191966111223611e-05	0.010948
A	245935	AtoT	-	245991.58138417336	-1.7379109767810859e-05	0.034600
A	247269	AtoT	+	247212.41861582155	1.7383097788967759e-05	0.034600
C	326880	CtoG	+	326738.80360189907	3.2205871686587014e-05	0.010948
C	1541857	CtoT	+	1540883.3724560863	0.00022209952748690104	0.010948
A	1107772	AtoG	+	1106956.3041711757	0.00025066407564774864	0.034600
C	325078	CtoA	-	323963.17605799076	0.00025466523671058424	0.010948
A	277031	AtoC	-	276158.72278700332	0.00026837562054969274	0.034600
